[472/1000]: loss_d: 1.282, loss_g: 0.877
[473/1000]: loss_d: 1.286, loss_g: 0.866
[474/1000]: loss_d: 1.286, loss_g: 0.863
[475/1000]: loss_d: 1.283, loss_g: 0.875
[476/1000]: loss_d: 1.282, loss_g: 0.872
[477/1000]: loss_d: 1.286, loss_g: 0.871
[478/1000]: loss_d: 1.283, loss_g: 0.872
[479/1000]: loss_d: 1.282, loss_g: 0.875
[480/1000]: loss_d: 1.284, loss_g: 0.869
[481/1000]: loss_d: 1.284, loss_g: 0.876
[482/1000]: loss_d: 1.280, loss_g: 0.873
[483/1000]: loss_d: 1.279, loss_g: 0.876
[484/1000]: loss_d: 1.282, loss_g: 0.868
[485/1000]: loss_d: 1.285, loss_g: 0.867
[486/1000]: loss_d: 1.284, loss_g: 0.869
[487/1000]: loss_d: 1.284, loss_g: 0.864
[488/1000]: loss_d: 1.284, loss_g: 0.869
[489/1000]: loss_d: 1.279, loss_g: 0.876
[490/1000]: loss_d: 1.275, loss_g: 0.883
[491/1000]: loss_d: 1.282, loss_g: 0.875
[492/1000]: loss_d: 1.274, loss_g: 0.886
[493/1000]: loss_d: 1.277, loss_g: 0.880
[494/1000]: loss_d: 1.277, loss_g: 0.877
[495/1000]: loss_d: 1.278, loss_g: 0.877
[496/1000]: loss_d: 1.278, loss_g: 0.874
[497/1000]: loss_d: 1.276, loss_g: 0.882
[498/1000]: loss_d: 1.278, loss_g: 0.874
[499/1000]: loss_d: 1.277, loss_g: 0.881
[500/1000]: loss_d: 1.276, loss_g: 0.882
[501/1000]: loss_d: 1.279, loss_g: 0.878
[502/1000]: loss_d: 1.276, loss_g: 0.883
[503/1000]: loss_d: 1.274, loss_g: 0.886
[504/1000]: loss_d: 1.275, loss_g: 0.883
[505/1000]: loss_d: 1.273, loss_g: 0.887
[506/1000]: loss_d: 1.275, loss_g: 0.884
[507/1000]: loss_d: 1.274, loss_g: 0.889
[508/1000]: loss_d: 1.277, loss_g: 0.877
[509/1000]: loss_d: 1.275, loss_g: 0.883
[510/1000]: loss_d: 1.276, loss_g: 0.880
[511/1000]: loss_d: 1.274, loss_g: 0.884
[512/1000]: loss_d: 1.272, loss_g: 0.892
[513/1000]: loss_d: 1.271, loss_g: 0.885
[514/1000]: loss_d: 1.273, loss_g: 0.887
[515/1000]: loss_d: 1.271, loss_g: 0.889
[516/1000]: loss_d: 1.273, loss_g: 0.890
[517/1000]: loss_d: 1.271, loss_g: 0.891
[518/1000]: loss_d: 1.266, loss_g: 0.898
[519/1000]: loss_d: 1.268, loss_g: 0.899
[520/1000]: loss_d: 1.265, loss_g: 0.899
[521/1000]: loss_d: 1.258, loss_g: 0.907
